provincia_id,provincia_nombre,causa_id,materia_id,materia_descripcion,materia_estadistica,circunscripcion_id,circunscripcion_descripcion,unidad_id,unidad_descripcion,causa_fecha_inicio,objeto_litigio_id,objeto_litigio_descripcion,objeto_litigio_estadistico,acto_procesal_descripcion,acto_procesal_fecha,estado_procesal,fecha_envio
14,Córdoba,100083,,,,7,Séptima,74,OF. DE EJECUCION FISCAL (JUZG.1A NOM) - COSQUIN,,,,,SUBASTA,2019-06-07,ACTIVO,2019-08-14
14,Córdoba,100168,,,,7,Séptima,74,OF. DE EJECUCION FISCAL (JUZG.1A NOM) - COSQUIN,,,,,REGULACION DE HONORARIOS,2019-04-10,ACTIVO,2019-08-14
14,Córdoba,100748,,,,7,Séptima,74,OF. DE EJECUCION FISCAL (JUZG.1A NOM) - COSQUIN,,,,,MEDIDAS CAUTELARES EMBARGO,2019-04-25,ACTIVO,2019-08-14
14,Córdoba,101018,,,,7,Séptima,74,OF. DE EJECUCION FISCAL (JUZG.1A NOM) - COSQUIN,,,,,ARCHIVO,2019-05-02,ACTIVO,2019-08-14
14,Córdoba,101399,,,,7,Séptima,74,OF. DE EJECUCION FISCAL (JUZG.1A NOM) - COSQUIN,,,,,SUBASTA,2019-04-23,ACTIVO,2019-08-14
14,Córdoba,102024,,,,7,Séptima,74,OF. DE EJECUCION FISCAL (JUZG.1A NOM) - COSQUIN,,,,,ARCHIVO,2019-06-11,ACTIVO,2019-08-14
14,Córdoba,102040,,,,7,Séptima,74,OF. DE EJECUCION FISCAL (JUZG.1A NOM) - COSQUIN,,,,,ARCHIVO,2019-06-07,ACTIVO,2019-08-14
14,Córdoba,102097,,,,7,Séptima,74,OF. DE EJECUCION FISCAL (JUZG.1A NOM) - COSQUIN,,,,,ARCHIVO,2019-06-12,ACTIVO,2019-08-14
14,Córdoba,102162,,,,7,Séptima,74,OF. DE EJECUCION FISCAL (JUZG.1A NOM) - COSQUIN,,,,,ARCHIVO,2019-06-14,ACTIVO,2019-08-14
14,Córdoba,102175,,,,7,Séptima,74,OF. DE EJECUCION FISCAL (JUZG.1A NOM) - COSQUIN,,,,,ARCHIVO,2019-06-13,ACTIVO,2019-08-14
